             0.6252226029,            -0.0005605810,            -0.0252501899,             0.0048154542,            -0.0314860235,            -0.0005605810,             0.6372588309,            -0.0780356484,             0.0072151899,            -0.0460485363,             0.0067255118,             0.0024077271,            -0.0651169682,            -0.0000672488,            -0.2356816871,             0.0048154542,             0.0072151899,             0.0004260834,             0.1538592287,            -0.0079706492,             0.0036075950,             0.0184012831,            -0.2416998011,            -0.0042656151,            -0.0780763464
             0.6125165044,            -0.0214904957,            -0.0347471620,            -0.0123746961,            -0.0178230771,            -0.0214904957,             0.5846214310,            -0.0132289981,            -0.0029514903,            -0.0076248821,            -0.0099377875,            -0.0061873481,            -0.0774407180,            -0.0107019300,            -0.2300533306,            -0.0123746961,            -0.0029514903,             0.0000866357,             0.1524098432,             0.0141746317,            -0.0014757451,            -0.0033852901,            -0.2161057939,            -0.0036579320,            -0.0718968650
             0.6203086402,            -0.0094207187,            -0.0133421046,            -0.0024485714,             0.0108960355,            -0.0094207187,             0.6348077228,             0.0747131302,             0.0099963340,             0.0630855370,            -0.0071209030,            -0.0012242857,            -0.0763812310,            -0.0001448914,            -0.2335430214,            -0.0024485714,             0.0099963340,             0.0091309359,             0.1532225974,             0.0027005276,             0.0049981670,            -0.0070380823,            -0.2407925627,            -0.0033600956,            -0.0753006348
             0.6079315242,             0.0027388974,            -0.0341777773,             0.0002633739,            -0.0166258314,             0.0027388974,             0.6376696568,            -0.0605799111,             0.0092461600,            -0.0418650712,            -0.0041528929,             0.0001316869,            -0.0685726740,            -0.0022147743,            -0.2246113469,             0.0002633739,             0.0092461600,            -0.0071684460,             0.1587088305,            -0.0043310864,             0.0046230800,             0.0094891069,            -0.2394804132,            -0.0007960945,            -0.0621743528
             0.6198464404,            -0.0013026154,            -0.0266173066,             0.0245762882,            -0.0406156724,            -0.0013026154,             0.6363343839,            -0.0360603236,             0.0111948297,            -0.0088933182,             0.0125965978,             0.0122881441,            -0.0771933087,            -0.0010720919,            -0.2340746944,             0.0245762882,             0.0111948297,            -0.0008415685,             0.1516970517,            -0.0005612182,             0.0055974148,             0.0258716468,            -0.2423186661,            -0.0009319168,            -0.0766869363
             0.6294435069,            -0.0174383030,            -0.0489621697,            -0.0210508513,            -0.0272006186,            -0.0174383030,             0.6405752693,            -0.0153723068,             0.0030770804,            -0.0062679525,            -0.0093422354,            -0.0105254257,            -0.0862263619,            -0.0135192672,            -0.2401608542,            -0.0210508513,             0.0030770804,            -0.0096002313,             0.1491217986,             0.0023696181,             0.0015385402,            -0.0059732485,            -0.2457267354,            -0.0075343425,            -0.0754345455
             0.5741739899,            -0.0328626785,            -0.0096256835,            -0.0128275846,             0.0260515845,            -0.0328626785,             0.6382174423,             0.0506003970,            -0.0200101714,             0.0308209236,            -0.0278437197,            -0.0064137923,            -0.0707892201,            -0.0033497937,            -0.2101807741,            -0.0128275846,            -0.0200101714,             0.0261630912,             0.1538124417,             0.0083403276,            -0.0100050857,            -0.0163035290,            -0.2422025003,            -0.0122611754,            -0.0783553940
             0.5767104509,            -0.0088108573,             0.0137687035,             0.0115340576,             0.0705540437,            -0.0088108573,             0.6425782676,             0.0176207077,            -0.0022298326,            -0.0249545987,            -0.0295075864,             0.0057670288,            -0.0784676251,             0.0068590249,            -0.2121526871,             0.0115340576,            -0.0022298326,             0.0225289072,             0.1524050768,            -0.0016750442,            -0.0011149163,            -0.0155206244,            -0.2450865954,            -0.0052429507,            -0.0722565927
             0.6025704145,             0.0088122153,             0.0273052824,             0.0079956997,             0.0488619227,             0.0088122153,             0.6401307715,             0.0113577115,            -0.0149448856,             0.0274252742,            -0.0182507629,             0.0039978498,            -0.0815528320,             0.0001083861,            -0.2258274165,             0.0079956997,            -0.0149448856,            -0.0085954431,             0.1509155814,            -0.0030119966,            -0.0074724428,             0.0120316312,            -0.2446075950,             0.0029001093,            -0.0633142662
             0.6249347274,             0.0084312109,             0.0064245538,            -0.0008700306,             0.0176909805,             0.0084312109,             0.6515594192,            -0.0556753565,            -0.0114985542,            -0.0459843568,            -0.0113824904,            -0.0004350153,            -0.0906566919,            -0.0013836806,            -0.2365906220,            -0.0008700306,            -0.0114985542,            -0.0111985722,             0.1517534833,            -0.0065856926,            -0.0057492771,             0.0044104846,            -0.2499029679,             0.0009227591,            -0.0708938406
