 -4.957842621492E-01, -4.930811336456E-01,
 -4.984078538244E-01, -4.485758462733E-01,
 -5.040586485912E-01, -4.035116981155E-01,
 -4.954271485514E-01, -3.439012202092E-01,
 -4.974418155305E-01, -2.999434395699E-01,
 -5.050470965438E-01, -2.503525041278E-01,
 -4.963582555639E-01, -2.030962945226E-01,
 -5.055407783964E-01, -1.544008412153E-01,
 -5.057478434673E-01, -1.049061784181E-01,
 -5.072370509577E-01, -4.574219407630E-02,
 -5.042972958289E-01,  1.679118792808E-03,
 -5.011373207274E-01,  4.550748426743E-02,
 -5.038250703658E-01,  1.035198625865E-01,
 -4.985570618728E-01,  1.560292871527E-01,
 -5.074919370440E-01,  1.957976534134E-01,
 -5.038660275681E-01,  2.534357737753E-01,
 -5.018564047034E-01,  3.021747530348E-01,
 -5.001718202651E-01,  3.500376161327E-01,
 -5.068792602539E-01,  4.014254415476E-01,
 -5.002703177165E-01,  4.524351848502E-01,
 -4.993644809255E-01,  4.993760807649E-01,
 -4.480439115877E-01, -5.001191702960E-01,
 -4.560875715209E-01, -4.460012129491E-01,
 -4.485190403918E-01, -4.009911018611E-01,
 -4.530055815456E-01, -3.504468319842E-01,
 -4.501145772115E-01, -2.948251672990E-01,
 -4.574158772655E-01, -2.520382242489E-01,
 -4.562667077671E-01, -2.054022190851E-01,
 -4.538152367846E-01, -1.441084676498E-01,
 -4.573267968573E-01, -9.263264346742E-02,
 -4.556525832625E-01, -4.449001335522E-02,
 -4.533576118591E-01, -6.802759595638E-03,
 -4.522072957747E-01,  4.533133954222E-02,
 -4.462081065284E-01,  9.377560829224E-02,
 -4.482300855118E-01,  1.553734215206E-01,
 -4.572400125392E-01,  1.967491387542E-01,
 -4.491691354270E-01,  2.568960001779E-01,
 -4.554359243070E-01,  3.063237974941E-01,
 -4.518360925190E-01,  3.455337397317E-01,
 -4.454191834977E-01,  4.060188753104E-01,
 -4.443043226574E-01,  4.548534399322E-01,
 -4.537684917634E-01,  4.927597107228E-01,
