         -3088.3021255035,         -3729.2194681353,        -35742.5362729529,         -5114.6807618046,        -38392.4848661983
         -7350.9402885158,         -1632.1235491837,        -37536.4226316629,         -7680.6186970406,        -38883.1007159486
        -10123.2876536937,          3992.5090621663,        -33620.7426253989,          1455.8412178624,        -38764.8942551552
         -3483.4320650009,         -4638.0010573411,        -36953.4298176765,          9872.0905997059,        -38385.5764639062
         -1847.6599479168,          3331.5762054148,        -39747.2534398690,         -2177.3126789453,        -34247.3150242897
         -5936.3254685573,          6290.7270516761,        -38675.1247243643,         -3492.6053019188,        -35045.8135783610
          1498.9993462959,         -6530.9215801982,        -40150.3561892273,         11876.9805039711,        -37291.4376218552
          3622.3334983441,          2127.0425414461,        -38288.4228584356,         -4756.9314436340,        -38909.4337971466
         -7245.2959607561,         -7084.6792250811,        -37178.2480281945,        -14419.7441598618,        -36858.0150893864
         -9127.0661948175,          7319.3735945612,        -37541.4353632823,         10033.6318068968,        -35977.6985338061
          1523.5296330435,         -4129.3992053085,        -37951.4738852485,          5334.9015644769,        -37440.1191451437
          2844.7671554786,          5789.6078049206,        -39378.3051648879,         -1705.0336601000,        -37302.8730613931
          6522.3451103549,         -2164.6407277997,        -37132.5022193356,          8364.7310497210,        -40531.4905130101
          4992.8897580088,         -2053.6364168149,        -39417.7403186076,        -11735.0035504185,        -38080.0976362833
           642.7028124694,          2017.4216295737,        -36057.9098551575,          4838.8528883673,        -37306.8191569831
          -271.8057491276,         -5345.0146478564,        -37178.8084409825,         -8341.4888238460,        -37077.3875440034
         -4483.1664661887,          3438.2311177857,        -36861.5594402726,          2910.6819298225,        -34396.8498739777
         -3468.8019964842,          2373.5966661639,        -37133.7099974905,         -1551.2558982922,        -36273.4190539381
         -1730.3834989799,           822.2262254487,        -38847.4498753204,          5813.8323244037,        -35405.1971563145
          -263.1338065057,          -418.3571478170,        -37163.5859820839,         -3320.0401071005,        -36244.3364690692
         -3634.8549693842,         -2993.5884428450,        -39159.9928109799,           -70.0528835185,        -35776.2873675853
          1279.4394241606,          4359.4577432384,        -36200.4391042430,         12212.1739147604,        -38395.7333623680
          2583.2675344732,           975.4162043148,        -37852.9236501580,         -9550.2566544625,        -37095.1198653212
         -1158.1392730275,          3981.7742345299,        -41287.0165179491,         10919.6533076960,        -35229.6741586868
          9161.2531210201,         -2788.5757475672,        -36781.1430271317,          5695.1915085652,        -42978.1051141938
          4623.4425260312,         -3117.2901244757,        -39012.2036274881,        -14516.3333604425,        -40072.1093595643
         -2402.8200110473,          2934.5278353707,        -38223.9471249800,          3136.2487482079,        -34701.2456352578
          3468.7107335317,          -673.2413609133,        -36348.2270974383,          4454.9541724619,        -37796.1958544240
          1271.1887421359,         -2976.7902819892,        -38792.0328121557,        -10812.8831291249,        -38771.9977621130
         -4295.7642071063,          5232.3047177881,        -39161.8603381291,         -3101.9125990522,        -36464.8881586866
          2891.2667140423,         -1911.5115039961,        -37820.5268761447,          8997.7128480835,        -35610.5453837863
          3664.5713303125,         -5092.8910866341,        -38659.5997112735,         -5443.8477664999,        -37671.6928616195
          3955.7784548006,          4440.8082529767,        -36523.1644321913,          6703.7497175467,        -39621.3089276907
          3006.3825832337,          -876.6013412591,        -34875.7493098728,         -9343.4863703724,        -38299.2561136233
         -4248.6172043221,         -4387.3267054709,        -37537.5374903671,         -2779.0554092119,        -38349.2237601490
         -4725.5526503239,          7741.0653856009,        -37171.4568067697,          7336.1033838748,        -36607.2603885107
         -3028.0784368058,         -8971.2667534415,        -34133.1899363792,         -3909.6060408304,        -39037.7066909412
         -1626.0468000543,          5743.2317663386,        -41324.2436534839,         12342.3405630219,        -35796.0506420416
          6672.4145886072,          1423.1478601544,        -33694.2641437139,          2881.2509297380,        -39731.0888621595
          3761.6019427589,         -5888.3757060762,        -38204.1302562002,         -6268.0255637859,        -35145.3119745534
          2428.3647467169,          5205.4190243886,        -39138.7637294951,           653.0821110613,        -36154.5150836331
          4231.7353642492,         -1170.3724866752,        -35869.4981964303,          5179.3562130370,        -36849.2701987831
